2022-11-16 21:43:04,182 INFO    Thread-11 :143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_214304-bow0gwu0/logs/debug-internal.log
2022-11-16 21:43:04,183 INFO    Thread-11 :143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 21:43:04,183 INFO    Thread-11 :143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 64, 'dropout': 0.015001197833720824, 'epochs': 36, 'learning_rate': 0.05967141778427973, 'size_1': 255, 'size_2': 197, 'size_3': 163, 'size_4': 102, 'size_5': 169}
config: {}
2022-11-16 21:43:04,183 INFO    Thread-11 :143091 [wandb_init.py:init():569] starting backend
2022-11-16 21:43:04,183 INFO    Thread-11 :143091 [wandb_init.py:init():573] setting up manager
2022-11-16 21:43:04,185 INFO    Thread-11 :143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 21:43:04,188 INFO    Thread-11 :143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 21:43:04,197 INFO    Thread-11 :143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 64, 'dropout': 0.015001197833720824, 'epochs': 36, 'learning_rate': 0.05967141778427973, 'size_1': 255, 'size_2': 197, 'size_3': 163, 'size_4': 102, 'size_5': 169}
2022-11-16 21:43:04,198 INFO    Thread-11 :143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 21:43:04,198 INFO    Thread-11 :143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 21:43:04,198 INFO    Thread-11 :143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 21:43:04,209 INFO    Thread-11 :143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 21:43:04,478 INFO    Thread-11 :143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 21:43:04,505 INFO    Thread-11 :143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 21:43:04,505 INFO    Thread-11 :143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 21:43:07,697 INFO    Thread-11 :143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 21:43:07,697 INFO    Thread-11 :143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 21:43:07,697 INFO    Thread-11 :143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 21:43:07,697 INFO    Thread-11 :143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 21:43:07,697 INFO    Thread-11 :143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 21:45:20,537 INFO    Thread-11 :143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/bow0gwu0
2022-11-16 21:45:20,538 INFO    Thread-11 :143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 21:45:20,538 INFO    Thread-11 :143091 [wandb_run.py:_restore():1932] restore
2022-11-16 21:45:20,538 INFO    Thread-11 :143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 21:45:24,877 INFO    Thread-11 :143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-16 21:45:24,877 INFO    Thread-11 :143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 21:45:24,879 INFO    Thread-11 :143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'd6wbcdvl', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-d6wbcdvl.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_214527-d6wbcdvl/logs/debug.log
2022-11-16 21:45:27,768 INFO    Thread-49 :143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_214527-d6wbcdvl/logs/debug-internal.log
2022-11-16 21:45:27,769 INFO    Thread-49 :143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 21:45:27,769 INFO    Thread-49 :143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 96, 'dropout': 0.15787859630136394, 'epochs': 82, 'learning_rate': 0.051771029535170314, 'size_1': 136, 'size_2': 254, 'size_3': 204, 'size_4': 162, 'size_5': 222}
config: {}
2022-11-16 21:45:27,769 INFO    Thread-49 :143091 [wandb_init.py:init():569] starting backend
2022-11-16 21:45:27,769 INFO    Thread-49 :143091 [wandb_init.py:init():573] setting up manager
2022-11-16 21:45:27,772 INFO    Thread-49 :143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 21:45:27,774 INFO    Thread-49 :143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 21:45:27,784 INFO    Thread-49 :143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 96, 'dropout': 0.15787859630136394, 'epochs': 82, 'learning_rate': 0.051771029535170314, 'size_1': 136, 'size_2': 254, 'size_3': 204, 'size_4': 162, 'size_5': 222}
2022-11-16 21:45:27,785 INFO    Thread-49 :143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 21:45:27,786 INFO    Thread-49 :143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 21:45:27,786 INFO    Thread-49 :143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 21:45:27,804 INFO    Thread-49 :143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 21:45:28,007 INFO    Thread-49 :143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 21:45:28,038 INFO    Thread-49 :143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 21:45:28,038 INFO    Thread-49 :143091 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 21:45:31,332 INFO    Thread-49 :143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 21:45:31,332 INFO    Thread-49 :143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
